단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
199820,KR7199820002,제일일렉트릭,ST,2.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,10670,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,611869,500,20201126,22220,11110000000,12,,0,,N,N,1064,93,74,61,8,20250630.0,2370,,N,N,N
200130,KR7200130003,콜마비앤에이치,ST,2.0,1009,1024,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,13220,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,63595,500,20140723,29415,14771779000,12,,0,,N,N,3008,143,115,81,4,20250630.0,3888,,N,N,Y
200230,KR7200230001,텔콘RF제약,ST,3.0,1009,1024,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1047,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,998847,1000,20141124,68523,68523533000,12,,0,,N,N,200,-19,-164,-164,-44,20250630.0,717,,N,N,N
200350,KR7200350007,아티스트스튜디오,ST,3.0,1015,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,7650,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,25880,500,20211230,9996,4998012500,12,,0,,N,N,57,-19,-12,-12,-5,20250630.0,764,,N,N,N
200470,KR7200470003,에이팩트,ST,3.0,1009,1028,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4960,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,342088,500,20141226,42362,21181046500,12,,0,,N,N,867,-215,-489,-507,-66,20241231.0,2101,,N,N,N
200670,KR7200670008,휴메딕스,ST,2.0,1009,1024,0,N,N,Y,,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,49000,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,106383,500,20141226,11229,5614965000,12,,0,,N,N,1619,431,484,393,18,20241231.0,5502,,N,N,Y
200710,KR7200710002,에이디테크놀로지,ST,2.0,1009,1028,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,23500,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,206448,500,20141216,13440,7015169500,12,,0,,N,N,667,-26,-49,-49,-8,20250630.0,3158,,N,N,Y
200780,KR7200780005,비씨월드제약,ST,3.0,1009,1024,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4645,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,9492,200,20141215,9736,1947248000,12,,0,,N,N,363,11,-17,-21,-7,20250630.0,452,,N,N,N
201490,KR7201490000,미투온,ST,3.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4695,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,340160,500,20161010,30390,15628885000,12,,0,,N,N,453,63,73,66,4,20250630.0,1426,,N,N,N
203400,KR7203400007,에이비온,ST,3.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4115,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,233379,500,20210908,29456,14728140000,12,,0,,N,N,8,-137,-216,-216,-154,20250930.0,1212,,N,N,N
203450,KR7203450002,유니온바이오메트릭스,ST,3.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2910,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,19441,500,20161207,14079,7339503500,12,,0,,N,N,247,5,4,7,3,20250630.0,409,,N,N,N
203650,KR7203650007,드림시큐리티,ST,3.0,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3705,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,1320232,100,20141013,47816,5060575400,12,,0,,N,N,1491,84,-11,1,2,20250630.0,1771,,N,N,N
203690,KR7203690003,아크솔루션스,ST,3.0,1009,1021,0,N,N,Y,,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,4425,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20140930,17383,8691697500,12,,0,,N,N,94,-36,-50,-50,-36,20250630.0,769,,N,N,N
204020,KR7204020002,그리티,ST,3.0,1009,1020,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2140,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,64455,500,20180723,19450,10393049000,12,,0,,N,N,1031,36,33,27,7,20250630.0,416,,N,N,N
204270,KR7204270003,제이앤티씨,ST,1.0,1009,1028,0,,N,Y,,N,,,,,N,,,0,,,N,,,,,Y,27700,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,361996,500,20200304,57848,28924233000,12,,0,,N,Y,1041,-380,-560,-577,-38,20250630.0,16024,,N,N,N
204610,KR7204610000,티쓰리,ST,3.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1923,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,272723,100,20221117,58601,6830172000,12,,0,,N,N,357,94,108,93,17,20250630.0,1126,,N,N,N
204620,KR7204620009,글로벌텍스프리,ST,2.0,1014,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5410,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,1014462,500,20141119,70283,35141665000,12,,0,,N,N,793,133,183,155,26,20250630.0,3802,,N,N,N
204630,KR7204630008,스튜디오산타클로스,ST,3.0,1015,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,4650,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20141229,5089,2544970500,12,,0,,N,N,70,-7,-12,-12,-6,20250630.0,236,,N,N,N
